date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:28:57	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Feb%202024%2016:27:34%20GMT	https://hfis.bpjs-kesehatan.go.id/robots.txt		(from )
01:28:58	9524/9524	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Feb%202024%2016:27:34%20GMT	https://hfis.bpjs-kesehatan.go.id/hfis/	C:/xampp/htdocs/bpjsgot/hfis.bpjs-kesehatan.go.id/hfis/index.html	(from )
01:28:59	25974/25974	---M--	200	added ('OK')	image/x-icon	etag:%221374383b4937d31:0%22	https://hfis.bpjs-kesehatan.go.id/hfis/assets/img/pavicon.ico	C:/xampp/htdocs/bpjsgot/hfis.bpjs-kesehatan.go.id/hfis/assets/img/pavicon.ico	(from https://hfis.bpjs-kesehatan.go.id/hfis/)
01:28:59	121458/121458	---M-Z	200	added ('OK')	text/css	etag:%22cea570d2db97d71:0%22	https://hfis.bpjs-kesehatan.go.id/hfis/assets/css/bootstrap.min.css	C:/xampp/htdocs/bpjsgot/hfis.bpjs-kesehatan.go.id/hfis/assets/css/bootstrap.min.css	(from https://hfis.bpjs-kesehatan.go.id/hfis/)
01:29:00	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%220f6b1a2a65d01:0%22	https://hfis.bpjs-kesehatan.go.id/hfis/assets/css/font-awesome.min.css	C:/xampp/htdocs/bpjsgot/hfis.bpjs-kesehatan.go.id/hfis/assets/css/font-awesome.min.css	(from https://hfis.bpjs-kesehatan.go.id/hfis/)
01:29:00	6727/6727	---M-Z	200	added ('OK')	text/css	etag:%220a1d6f7263bd21:0%22	https://hfis.bpjs-kesehatan.go.id/hfis/assets/css/main.css	C:/xampp/htdocs/bpjsgot/hfis.bpjs-kesehatan.go.id/hfis/assets/css/main.css	(from https://hfis.bpjs-kesehatan.go.id/hfis/)
01:29:01	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%220a1d6f7263bd21:0%22	https://hfis.bpjs-kesehatan.go.id/hfis/assets/css/animate.css	C:/xampp/htdocs/bpjsgot/hfis.bpjs-kesehatan.go.id/hfis/assets/css/animate.css	(from https://hfis.bpjs-kesehatan.go.id/hfis/)
01:29:02	2740/2740	---M-Z	200	added ('OK')	text/css	etag:%220a1d6f7263bd21:0%22	https://hfis.bpjs-kesehatan.go.id/hfis/assets/css/responsive.css	C:/xampp/htdocs/bpjsgot/hfis.bpjs-kesehatan.go.id/hfis/assets/css/responsive.css	(from https://hfis.bpjs-kesehatan.go.id/hfis/)
01:29:02	15418/15418	---M-Z	200	added ('OK')	application/javascript	etag:%220a1d6f7263bd21:0%22	https://hfis.bpjs-kesehatan.go.id/hfis/assets/js/modernizr-2.6.2.min.js	C:/xampp/htdocs/bpjsgot/hfis.bpjs-kesehatan.go.id/hfis/assets/js/modernizr-2.6.2.min.js	(from https://hfis.bpjs-kesehatan.go.id/hfis/)
01:29:03	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22f212c944a85d71:0%22	https://hfis.bpjs-kesehatan.go.id/hfis/assets/js/jquery-3.6.0.min.js	C:/xampp/htdocs/bpjsgot/hfis.bpjs-kesehatan.go.id/hfis/assets/js/jquery-3.6.0.min.js	(from https://hfis.bpjs-kesehatan.go.id/hfis/)
